Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l]
A1,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
B1,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
C1,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
D1,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
E1,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
F1,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
A2,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
B2,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
C2,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
D2,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
E2,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
F2,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
A3,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
B3,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
C3,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
D3,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
E3,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
F3,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
A4,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
B4,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
C4,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
D4,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
E4,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
F4,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
A5,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
B5,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
C5,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
D5,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
E5,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
F5,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
A6,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
B6,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
C6,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
D6,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
E6,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
F6,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
A7,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
B7,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
C7,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
D7,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
E7,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
F7,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
A8,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
B8,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
C8,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
D8,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
E8,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
F8,40.0,4.0,0.004,20.0,0.29,1.32,0.01,9.52,0.52,50.0,3e-05,0.0003,0.0001,0.0008,0.0001,0.05
