Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P3,A1,P2,A1,189.4380185758514
P3,A1,P2,A1,189.4380185758514
P3,A1,P2,A1,189.4380185758514
P3,A1,P2,A1,189.4380185758514
P3,A1,P2,A1,189.4380185758514
P3,A1,P2,B1,189.4380185758514
P3,A1,P2,B1,189.4380185758514
P3,A1,P2,B1,189.4380185758514
P3,A1,P2,B1,189.4380185758514
P3,A1,P2,B1,189.4380185758514
P3,A1,P2,C1,189.4380185758514
P3,A1,P2,C1,189.4380185758514
P3,A1,P2,C1,189.4380185758514
P3,A1,P2,C1,189.4380185758514
P3,A1,P2,C1,189.4380185758514
P3,A1,P2,D1,189.4380185758514
P3,A1,P2,D1,189.4380185758514
P3,A1,P2,D1,189.4380185758514
P3,A1,P2,D1,189.4380185758514
P3,A1,P2,D1,189.4380185758514
P3,A1,P2,E1,189.4380185758514
P3,A1,P2,E1,189.4380185758514
P3,A1,P2,E1,189.4380185758514
P3,A1,P2,E1,189.4380185758514
P3,A1,P2,E1,189.4380185758514
P3,A1,P2,F1,189.4380185758514
P3,A1,P2,F1,189.4380185758514
P3,A1,P2,F1,189.4380185758514
P3,A1,P2,F1,189.4380185758514
P3,A1,P2,F1,189.4380185758514
P3,A1,P2,A2,189.4380185758514
P3,A1,P2,A2,189.4380185758514
P3,A1,P2,A2,189.4380185758514
P3,A1,P2,A2,189.4380185758514
P3,A1,P2,A2,189.4380185758514
P3,A1,P2,B2,189.4380185758514
P3,A1,P2,B2,189.4380185758514
P3,A1,P2,B2,189.4380185758514
P3,A1,P2,B2,189.4380185758514
P3,A1,P2,B2,189.4380185758514
P3,A1,P2,C2,189.4380185758514
P3,A1,P2,C2,189.4380185758514
P3,A1,P2,C2,189.4380185758514
P3,A1,P2,C2,189.4380185758514
P3,A1,P2,C2,189.4380185758514
P3,A1,P2,D2,189.4380185758514
P3,A1,P2,D2,189.4380185758514
P3,A1,P2,D2,189.4380185758514
P3,A1,P2,D2,189.4380185758514
P3,A1,P2,D2,189.4380185758514
P3,A1,P2,E2,189.4380185758514
P3,A1,P2,E2,189.4380185758514
P3,A1,P2,E2,189.4380185758514
P3,A1,P2,E2,189.4380185758514
P3,A1,P2,E2,189.4380185758514
P3,A1,P2,F2,189.4380185758514
P3,A1,P2,F2,189.4380185758514
P3,A1,P2,F2,189.4380185758514
P3,A1,P2,F2,189.4380185758514
P3,A1,P2,F2,189.4380185758514
P3,A1,P2,A3,189.4380185758514
P3,A1,P2,A3,189.4380185758514
P3,A1,P2,A3,189.4380185758514
P3,A1,P2,A3,189.4380185758514
P3,A1,P2,A3,189.4380185758514
P3,A1,P2,B3,189.4380185758514
P3,A1,P2,B3,189.4380185758514
P3,A1,P2,B3,189.4380185758514
P3,A1,P2,B3,189.4380185758514
P3,A1,P2,B3,189.4380185758514
P3,A1,P2,C3,189.4380185758514
P3,A1,P2,C3,189.4380185758514
P3,A1,P2,C3,189.4380185758514
P3,A1,P2,C3,189.4380185758514
P3,A1,P2,C3,189.4380185758514
P3,A1,P2,D3,189.4380185758514
P3,A1,P2,D3,189.4380185758514
P3,A1,P2,D3,189.4380185758514
P3,A1,P2,D3,189.4380185758514
P3,A1,P2,D3,189.4380185758514
P3,A1,P2,E3,189.4380185758514
P3,A1,P2,E3,189.4380185758514
P3,A1,P2,E3,189.4380185758514
P3,A1,P2,E3,189.4380185758514
P3,A1,P2,E3,189.4380185758514
P3,A1,P2,F3,189.4380185758514
P3,A1,P2,F3,189.4380185758514
P3,A1,P2,F3,189.4380185758514
P3,A1,P2,F3,189.4380185758514
P3,A1,P2,F3,189.4380185758514
P3,A1,P2,A4,189.4380185758514
P3,A1,P2,A4,189.4380185758514
P3,A1,P2,A4,189.4380185758514
P3,A1,P2,A4,189.4380185758514
P3,A1,P2,A4,189.4380185758514
P3,A1,P2,B4,189.4380185758514
P3,A1,P2,B4,189.4380185758514
P3,A1,P2,B4,189.4380185758514
P3,A1,P2,B4,189.4380185758514
P3,A1,P2,B4,189.4380185758514
P3,A1,P2,C4,189.4380185758514
P3,A1,P2,C4,189.4380185758514
P3,A1,P2,C4,189.4380185758514
P3,A1,P2,C4,189.4380185758514
P3,A1,P2,C4,189.4380185758514
P3,A1,P2,D4,189.4380185758514
P3,A1,P2,D4,189.4380185758514
P3,A1,P2,D4,189.4380185758514
P3,A1,P2,D4,189.4380185758514
P3,A1,P2,D4,189.4380185758514
P3,A1,P2,E4,189.4380185758514
P3,A1,P2,E4,189.4380185758514
P3,A1,P2,E4,189.4380185758514
P3,A1,P2,E4,189.4380185758514
P3,A1,P2,E4,189.4380185758514
P3,A1,P2,F4,189.4380185758514
P3,A1,P2,F4,189.4380185758514
P3,A1,P2,F4,189.4380185758514
P3,A1,P2,F4,189.4380185758514
P3,A1,P2,F4,189.4380185758514
P3,A1,P2,A5,189.4380185758514
P3,A1,P2,A5,189.4380185758514
P3,A1,P2,A5,189.4380185758514
P3,A1,P2,A5,189.4380185758514
P3,A1,P2,A5,189.4380185758514
P3,A1,P2,B5,189.4380185758514
P3,A1,P2,B5,189.4380185758514
P3,A1,P2,B5,189.4380185758514
P3,A1,P2,B5,189.4380185758514
P3,A1,P2,B5,189.4380185758514
P3,A1,P2,C5,189.4380185758514
P3,A1,P2,C5,189.4380185758514
P3,A1,P2,C5,189.4380185758514
P3,A1,P2,C5,189.4380185758514
P3,A1,P2,C5,189.4380185758514
P3,A1,P2,D5,189.4380185758514
P3,A1,P2,D5,189.4380185758514
P3,A1,P2,D5,189.4380185758514
P3,A1,P2,D5,189.4380185758514
P3,A1,P2,D5,189.4380185758514
P3,A1,P2,E5,189.4380185758514
P3,A1,P2,E5,189.4380185758514
P3,A1,P2,E5,189.4380185758514
P3,A1,P2,E5,189.4380185758514
P3,A1,P2,E5,189.4380185758514
P3,A1,P2,F5,189.4380185758514
P3,A1,P2,F5,189.4380185758514
P3,A1,P2,F5,189.4380185758514
P3,A1,P2,F5,189.4380185758514
P3,A1,P2,F5,189.4380185758514
P3,A1,P2,A6,189.4380185758514
P3,A1,P2,A6,189.4380185758514
P3,A1,P2,A6,189.4380185758514
P3,A1,P2,A6,189.4380185758514
P3,A1,P2,A6,189.4380185758514
P3,A1,P2,B6,189.4380185758514
P3,A1,P2,B6,189.4380185758514
P3,A1,P2,B6,189.4380185758514
P3,A1,P2,B6,189.4380185758514
P3,A1,P2,B6,189.4380185758514
P3,A1,P2,C6,189.4380185758514
P3,A1,P2,C6,189.4380185758514
P3,A1,P2,C6,189.4380185758514
P3,A1,P2,C6,189.4380185758514
P3,A1,P2,C6,189.4380185758514
P3,A1,P2,D6,189.4380185758514
P3,A1,P2,D6,189.4380185758514
P3,A1,P2,D6,189.4380185758514
P3,A1,P2,D6,189.4380185758514
P3,A1,P2,D6,189.4380185758514
P3,A1,P2,E6,189.4380185758514
P3,A1,P2,E6,189.4380185758514
P3,A1,P2,E6,189.4380185758514
P3,A1,P2,E6,189.4380185758514
P3,A1,P2,E6,189.4380185758514
P3,A1,P2,F6,189.4380185758514
P3,A1,P2,F6,189.4380185758514
P3,A1,P2,F6,189.4380185758514
P3,A1,P2,F6,189.4380185758514
P3,A1,P2,F6,189.4380185758514
P3,A1,P2,A7,189.4380185758514
P3,A1,P2,A7,189.4380185758514
P3,A1,P2,A7,189.4380185758514
P3,A1,P2,A7,189.4380185758514
P3,A1,P2,A7,189.4380185758514
P3,A1,P2,B7,189.4380185758514
P3,A1,P2,B7,189.4380185758514
P3,A1,P2,B7,189.4380185758514
P3,A1,P2,B7,189.4380185758514
P3,A1,P2,B7,189.4380185758514
P3,A1,P2,C7,189.4380185758514
P3,A1,P2,C7,189.4380185758514
