Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Water,Culture
A1,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
B1,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
C1,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
D1,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
E1,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
F1,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
A2,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
B2,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
C2,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
D2,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
E2,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
F2,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
A3,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
B3,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
C3,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
D3,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
E3,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
F3,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
A4,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
B4,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
C4,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
D4,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
E4,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
F4,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
A5,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
B5,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
C5,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
D5,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
E5,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
F5,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
A6,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
B6,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
C6,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
D6,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
E6,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
F6,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
A7,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
B7,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
C7,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
D7,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
E7,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
F7,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
A8,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
B8,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
C8,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
D8,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
E8,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
F8,35.29411764705878,15.0,50.0,10.0,10.0,5.0,50.0,7.51578947368421,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,947.190092879257,15.0
