Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P3,A1,P2,A1,184.50955090183137
P3,A1,P2,A1,184.50955090183137
P3,A1,P2,A1,184.50955090183137
P3,A1,P2,A1,184.50955090183137
P3,A1,P2,A1,184.50955090183137
P3,A1,P2,B1,184.50955090183137
P3,A1,P2,B1,184.50955090183137
P3,A1,P2,B1,184.50955090183137
P3,A1,P2,B1,184.50955090183137
P3,A1,P2,B1,184.50955090183137
P3,A1,P2,C1,184.50955090183137
P3,A1,P2,C1,184.50955090183137
P3,A1,P2,C1,184.50955090183137
P3,A1,P2,C1,184.50955090183137
P3,A1,P2,C1,184.50955090183137
P3,A1,P2,D1,185.84827791617695
P3,A1,P2,D1,185.84827791617695
P3,A1,P2,D1,185.84827791617695
P3,A1,P2,D1,185.84827791617695
P3,A1,P2,D1,185.84827791617695
P3,A1,P2,D1,185.84827791617695
P3,A1,P2,E1,185.84827791617695
P3,A1,P2,E1,185.84827791617695
P3,A1,P2,E1,185.84827791617695
P3,A1,P2,E1,185.84827791617695
P3,A1,P2,E1,185.84827791617695
P3,A1,P2,E1,185.84827791617695
P3,A1,P2,F1,185.84827791617695
P3,A1,P2,F1,185.84827791617695
P3,A1,P2,F1,185.84827791617695
P3,A1,P2,F1,185.84827791617695
P3,A1,P2,F1,185.84827791617695
P3,A1,P2,F1,185.84827791617695
P3,A1,P2,A2,189.60077333439233
P3,A1,P2,A2,189.60077333439233
P3,A1,P2,A2,189.60077333439233
P3,A1,P2,A2,189.60077333439233
P3,A1,P2,A2,189.60077333439233
P3,A1,P2,A2,189.60077333439233
P3,A1,P2,B2,189.60077333439233
P3,A1,P2,B2,189.60077333439233
P3,A1,P2,B2,189.60077333439233
P3,A1,P2,B2,189.60077333439233
P3,A1,P2,B2,189.60077333439233
P3,A1,P2,B2,189.60077333439233
P3,A1,P2,C2,189.60077333439233
P3,A1,P2,C2,189.60077333439233
P3,A1,P2,C2,189.60077333439233
P3,A1,P2,C2,189.60077333439233
P3,A1,P2,C2,189.60077333439233
P3,A1,P2,C2,189.60077333439233
P3,A1,P2,D2,182.6634353636841
P3,A1,P2,D2,182.6634353636841
P3,A1,P2,E2,182.6634353636841
P3,A1,P2,E2,182.6634353636841
P3,A1,P2,F2,182.6634353636841
P3,A1,P2,F2,182.6634353636841
P3,A1,P2,A3,167.00583362973882
P3,A1,P2,A3,167.00583362973882
P3,A1,P2,A3,167.00583362973882
P3,A1,P2,A3,167.00583362973882
P3,A1,P2,A3,167.00583362973882
P3,A1,P2,A3,167.00583362973882
P3,A1,P2,B3,167.00583362973882
P3,A1,P2,B3,167.00583362973882
P3,A1,P2,B3,167.00583362973882
P3,A1,P2,B3,167.00583362973882
P3,A1,P2,B3,167.00583362973882
P3,A1,P2,B3,167.00583362973882
P3,A1,P2,C3,167.00583362973882
P3,A1,P2,C3,167.00583362973882
P3,A1,P2,C3,167.00583362973882
P3,A1,P2,C3,167.00583362973882
P3,A1,P2,C3,167.00583362973882
P3,A1,P2,C3,167.00583362973882
P3,A1,P2,D3,186.05570664036475
P3,A1,P2,D3,186.05570664036475
P3,A1,P2,D3,186.05570664036475
P3,A1,P2,D3,186.05570664036475
P3,A1,P2,D3,186.05570664036475
P3,A1,P2,E3,186.05570664036475
P3,A1,P2,E3,186.05570664036475
P3,A1,P2,E3,186.05570664036475
P3,A1,P2,E3,186.05570664036475
P3,A1,P2,E3,186.05570664036475
P3,A1,P2,F3,186.05570664036475
P3,A1,P2,F3,186.05570664036475
P3,A1,P2,F3,186.05570664036475
P3,A1,P2,F3,186.05570664036475
P3,A1,P2,F3,186.05570664036475
P3,A1,P2,A4,168.52564259235746
P3,A1,P2,A4,168.52564259235746
P3,A1,P2,A4,168.52564259235746
P3,A1,P2,A4,168.52564259235746
P3,A1,P2,B4,168.52564259235746
P3,A1,P2,B4,168.52564259235746
P3,A1,P2,B4,168.52564259235746
P3,A1,P2,B4,168.52564259235746
P3,A1,P2,C4,168.52564259235746
