Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,B1,P2,A1,15.0
P1,B1,P2,B1,15.0
P1,B1,P2,C1,15.0
P1,B1,P2,D1,15.0
P1,B1,P2,E1,15.0
P1,B1,P2,F1,15.0
P1,B1,P2,A2,15.0
P1,B1,P2,B2,15.0
P1,B1,P2,C2,15.0
P1,B1,P2,D2,15.0
P1,B1,P2,E2,15.0
P1,B1,P2,F2,15.0
P1,B1,P2,A3,15.0
P1,B1,P2,B3,15.0
P1,B1,P2,C3,15.0
P1,B1,P2,D3,15.0
P1,B1,P2,E3,15.0
P1,B1,P2,F3,15.0
P1,B1,P2,A4,15.0
P1,B1,P2,B4,15.0
P1,B1,P2,C4,15.0
P1,B1,P2,D4,15.0
P1,B1,P2,E4,15.0
P1,B1,P2,F4,15.0
P1,B1,P2,A5,15.0
P1,B1,P2,B5,15.0
P1,B1,P2,C5,15.0
P1,B1,P2,D5,15.0
P1,B1,P2,E5,15.0
P1,B1,P2,F5,15.0
P1,B1,P2,A6,15.0
P1,B1,P2,B6,15.0
P1,B1,P2,C6,15.0
P1,B1,P2,D6,15.0
P1,B1,P2,E6,15.0
P1,B1,P2,F6,15.0
P1,B1,P2,A7,15.0
P1,B1,P2,B7,15.0
P1,B1,P2,C7,15.0
P1,B1,P2,D7,15.0
P1,B1,P2,E7,15.0
P1,B1,P2,F7,15.0
P1,B1,P2,A8,15.0
P1,B1,P2,B8,15.0
P1,B1,P2,C8,15.0
P1,B1,P2,D8,15.0
P1,B1,P2,E8,15.0
P1,B1,P2,F8,15.0
P1,C1,P2,D1,20.740550827879126
P1,C1,P2,E1,20.740550827879126
P1,C1,P2,F1,20.740550827879126
P4,A1,P2,A2,13.70088385625625
P4,A1,P2,B2,13.70088385625625
P4,A1,P2,C2,13.70088385625625
P1,C1,P2,D2,11.17712435041819
P1,C1,P2,E2,11.17712435041819
P1,C1,P2,F2,11.17712435041819
P1,C1,P2,D3,15.920545544398125
P1,C1,P2,E3,15.920545544398125
P1,C1,P2,F3,15.920545544398125
P1,C1,P2,A4,16.439513201709122
P1,C1,P2,B4,16.439513201709122
P1,C1,P2,C4,16.439513201709122
P1,C1,P2,D4,22.689455781738122
P1,C1,P2,E4,22.689455781738122
P1,C1,P2,F4,22.689455781738122
P4,A1,P2,A5,23.70849248127875
P4,A1,P2,B5,23.70849248127875
P4,A1,P2,C5,23.70849248127875
P4,A1,P2,D5,5.1962882686025
P4,A1,P2,E5,5.1962882686025
P4,A1,P2,F5,5.1962882686025
P1,C1,P2,A6,5.892571075913063
P1,C1,P2,B6,5.892571075913063
P1,C1,P2,C6,5.892571075913063
P1,C1,P2,A7,5.1436630562129375
P1,C1,P2,B7,5.1436630562129375
P1,C1,P2,C7,5.1436630562129375
P1,C1,P2,D7,12.84462626960575
P1,C1,P2,E7,12.84462626960575
P1,C1,P2,F7,12.84462626960575
P1,D1,P2,A1,16.494621428224598
P1,D1,P2,B1,16.494621428224598
P1,D1,P2,C1,16.494621428224598
P1,D1,P2,D1,5.474362664229197
P1,D1,P2,E1,5.474362664229197
P1,D1,P2,F1,5.474362664229197
P1,D1,P2,A4,8.937735054222465
P1,D1,P2,B4,8.937735054222465
P1,D1,P2,C4,8.937735054222465
P4,B1,P2,A5,17.493431631850985
P4,B1,P2,B5,17.493431631850985
P4,B1,P2,C5,17.493431631850985
P1,D1,P2,D5,6.597538461830965
P1,D1,P2,E5,6.597538461830965
P1,D1,P2,F5,6.597538461830965
P4,B1,P2,A6,28.642992590439906
P4,B1,P2,B6,28.642992590439906
P4,B1,P2,C6,28.642992590439906
P4,B1,P2,D6,27.801845219762697
P4,B1,P2,E6,27.801845219762697
P4,B1,P2,F6,27.801845219762697
P1,D1,P2,A8,7.9354458102173675
P1,D1,P2,B8,7.9354458102173675
P1,D1,P2,C8,7.9354458102173675
P1,D1,P2,D8,9.819416888466051
P1,D1,P2,E8,9.819416888466051
P1,D1,P2,F8,9.819416888466051
P1,A2,P2,A2,7.447809230408375
P1,A2,P2,B2,7.447809230408375
P1,A2,P2,C2,7.447809230408375
P1,A2,P2,D2,8.617452400596713
P1,A2,P2,E2,8.617452400596713
P1,A2,P2,F2,8.617452400596713
P1,A2,P2,A4,9.905563317535682
P1,A2,P2,B4,9.905563317535682
P1,A2,P2,C4,9.905563317535682
P1,A2,P2,A7,27.565713993452942
P1,A2,P2,B7,27.565713993452942
P1,A2,P2,C7,27.565713993452942
P1,A2,P2,A8,15.684901714310003
P1,A2,P2,B8,15.684901714310003
P1,A2,P2,C8,15.684901714310003
P1,A2,P2,D8,9.83776515131798
P1,A2,P2,E8,9.83776515131798
P1,A2,P2,F8,9.83776515131798
P4,D1,P2,A1,11.634271649457297
P4,D1,P2,B1,11.634271649457297
P4,D1,P2,C1,11.634271649457297
P1,B2,P2,D1,9.02013544078507
P1,B2,P2,E1,9.02013544078507
P1,B2,P2,F1,9.02013544078507
P1,B2,P2,A2,20.569323713391455
P1,B2,P2,B2,20.569323713391455
P1,B2,P2,C2,20.569323713391455
P4,D1,P2,D2,16.16694642895064
P4,D1,P2,E2,16.16694642895064
P4,D1,P2,F2,16.16694642895064
P4,D1,P2,A3,20.291985606330343
P4,D1,P2,B3,20.291985606330343
P4,D1,P2,C3,20.291985606330343
P4,D1,P2,D3,6.544315733413645
P4,D1,P2,E3,6.544315733413645
P4,D1,P2,F3,6.544315733413645
P1,B2,P2,A4,16.705787425038487
P1,B2,P2,B4,16.705787425038487
P1,B2,P2,C4,16.705787425038487
P1,B2,P2,D4,14.860538124306814
P1,B2,P2,E4,14.860538124306814
P1,B2,P2,F4,14.860538124306814
P1,B2,P2,A5,18.6535905666394
P1,B2,P2,B5,18.6535905666394
P1,B2,P2,C5,18.6535905666394
P1,B2,P2,D5,21.0360041071094
P1,B2,P2,E5,21.0360041071094
P1,B2,P2,F5,21.0360041071094
P1,B2,P2,A6,8.842801650769664
P1,B2,P2,B6,8.842801650769664
P1,B2,P2,C6,8.842801650769664
P4,D1,P2,D6,21.368959267300703
P4,D1,P2,E6,21.368959267300703
P4,D1,P2,F6,21.368959267300703
P1,B2,P2,A7,17.15089071890223
P1,B2,P2,B7,17.15089071890223
P1,B2,P2,C7,17.15089071890223
P4,D1,P2,D7,18.849425803824985
P4,D1,P2,E7,18.849425803824985
P4,D1,P2,F7,18.849425803824985
P4,D1,P2,A8,5.201978283933999
P4,D1,P2,B8,5.201978283933999
P4,D1,P2,C8,5.201978283933999
P1,B2,P2,D8,5.006218212570672
P1,B2,P2,E8,5.006218212570672
P1,B2,P2,F8,5.006218212570672
P5,C1,P2,D1,20.8436369723891
P5,C1,P2,E1,20.8436369723891
P5,C1,P2,F1,20.8436369723891
P5,C1,P2,A2,17.6356699276168
P5,C1,P2,B2,17.6356699276168
P5,C1,P2,C2,17.6356699276168
P5,B1,P2,D2,22.906890309798502
P5,B1,P2,E2,22.906890309798502
P5,B1,P2,F2,22.906890309798502
P5,C1,P2,A3,11.9868430707953
P5,C1,P2,B3,11.9868430707953
P5,C1,P2,C3,11.9868430707953
P5,B1,P2,D3,29.6345870803345
P5,B1,P2,E3,29.6345870803345
P5,B1,P2,F3,29.6345870803345
P5,C1,P2,A4,7.7075445732120755
P5,C1,P2,B4,7.7075445732120755
P5,C1,P2,C4,7.7075445732120755
P5,C1,P2,D4,6.93644198913055
P5,C1,P2,E4,6.93644198913055
P5,C1,P2,F4,6.93644198913055
P5,C1,P2,A5,23.463288950899198
P5,C1,P2,B5,23.463288950899198
P5,C1,P2,C5,23.463288950899198
P5,B1,P2,D5,18.1579582909885
P5,B1,P2,E5,18.1579582909885
P5,B1,P2,F5,18.1579582909885
P5,B1,P2,A6,23.557744188658504
P5,B1,P2,B6,23.557744188658504
P5,B1,P2,C6,23.557744188658504
P5,C1,P2,A7,10.5893365829818
P5,C1,P2,B7,10.5893365829818
P5,C1,P2,C7,10.5893365829818
P5,B1,P2,A8,8.8281678456715
P5,B1,P2,B8,8.8281678456715
P5,B1,P2,C8,8.8281678456715
P1,D2,P2,A1,6.299528778081999
P1,D2,P2,B1,6.299528778081999
P1,D2,P2,C1,6.299528778081999
P1,D2,P2,D1,5.015409133503094
P1,D2,P2,E1,5.015409133503094
P1,D2,P2,F1,5.015409133503094
P1,D2,P2,A2,7.601733856282349
P1,D2,P2,B2,7.601733856282349
P1,D2,P2,C2,7.601733856282349
P1,D2,P2,D2,10.622806229992074
P1,D2,P2,E2,10.622806229992074
P1,D2,P2,F2,10.622806229992074
P1,D2,P2,A3,6.652820996043899
P1,D2,P2,B3,6.652820996043899
P1,D2,P2,C3,6.652820996043899
P1,D2,P2,D3,7.282591251512047
P1,D2,P2,E3,7.282591251512047
P1,D2,P2,F3,7.282591251512047
P1,D2,P2,A4,8.617798501538843
P1,D2,P2,B4,8.617798501538843
P1,D2,P2,C4,8.617798501538843
P1,D2,P2,D4,11.062449834231533
P1,D2,P2,E4,11.062449834231533
P1,D2,P2,F4,11.062449834231533
P1,D2,P2,A5,7.956371402093779
P1,D2,P2,B5,7.956371402093779
P1,D2,P2,C5,7.956371402093779
P1,D2,P2,D5,10.349358920164624
P1,D2,P2,E5,10.349358920164624
P1,D2,P2,F5,10.349358920164624
P1,D2,P2,A6,8.427214069477333
P1,D2,P2,B6,8.427214069477333
P1,D2,P2,C6,8.427214069477333
P1,D2,P2,D6,8.993818079540214
P1,D2,P2,E6,8.993818079540214
P1,D2,P2,F6,8.993818079540214
