Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l]
A1,40.0,4.0,0.029002029,3.736923908,0.513360071,2.660736404,0.005936699,12.3989507,1.580732174,36.22745222,0.000130185,0.000948826,0.000732131,0.002866176,0.000236544,0.05
B1,40.0,4.0,0.029002029,3.736923908,0.513360071,2.660736404,0.005936699,12.3989507,1.580732174,36.22745222,0.000130185,0.000948826,0.000732131,0.002866176,0.000236544,0.05
C1,40.0,4.0,0.029002029,3.736923908,0.513360071,2.660736404,0.005936699,12.3989507,1.580732174,36.22745222,0.000130185,0.000948826,0.000732131,0.002866176,0.000236544,0.05
D1,40.0,4.0,0.03723615,2.332746313,2.261265891,2.059551527,0.047315112,6.992900283,5.158769937,46.32132909,3.54e-05,0.000733234,0.000624987,0.007170397,0.000581621,0.05
E1,40.0,4.0,0.03723615,2.332746313,2.261265891,2.059551527,0.047315112,6.992900283,5.158769937,46.32132909,3.54e-05,0.000733234,0.000624987,0.007170397,0.000581621,0.05
F1,40.0,4.0,0.03723615,2.332746313,2.261265891,2.059551527,0.047315112,6.992900283,5.158769937,46.32132909,3.54e-05,0.000733234,0.000624987,0.007170397,0.000581621,0.05
A2,40.0,4.0,0.037236174,2.332746313,2.261265892,2.059551526,0.04731503,6.992900282,5.158769937,46.32132909,8.7e-05,0.000733871,0.000788858,0.00716969,0.000592366,0.05
B2,40.0,4.0,0.037236174,2.332746313,2.261265892,2.059551526,0.04731503,6.992900282,5.158769937,46.32132909,8.7e-05,0.000733871,0.000788858,0.00716969,0.000592366,0.05
C2,40.0,4.0,0.037236174,2.332746313,2.261265892,2.059551526,0.04731503,6.992900282,5.158769937,46.32132909,8.7e-05,0.000733871,0.000788858,0.00716969,0.000592366,0.05
D2,40.0,4.0,0.037483728,5.523541567,0.067196109,2.407638784,0.092065914,10.40417188,2.191248389,89.8530105,0.000109997,8.19e-05,0.000785449,0.004129572,0.000883724,0.05
