Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,A1,P2,A1,35.29411764705915
P1,A1,P2,A2,35.29411764705915
P1,A1,P2,A3,35.29411764705915
P1,A1,P2,A4,35.29411764705915
P1,A1,P2,A5,35.29411764705915
P1,A1,P2,A6,35.29411764705915
P1,A1,P2,A7,35.29411764705868
P1,A1,P2,A8,35.29411764705868
P1,A1,P2,B1,35.29411764705868
P1,A1,P2,B2,35.29411764705868
P1,A1,P2,B3,35.29411764705868
P1,A1,P2,B4,35.29411764705868
P1,A1,P2,B5,35.29411764705887
P1,A1,P2,B6,35.29411764705887
P1,A1,P2,B7,35.29411764705887
P1,A1,P2,B8,35.29411764705887
P1,A1,P2,C1,35.29411764705887
P1,A1,P2,C2,35.29411764705887
P1,A1,P2,C3,35.29411764705893
P1,A1,P2,C4,35.29411764705893
P1,A1,P2,C5,35.29411764705893
P1,A1,P2,C6,35.29411764705893
P1,A1,P2,C7,35.29411764705893
P1,A1,P2,C8,35.29411764705893
P1,A1,P2,D1,35.29411764705896
P1,A1,P2,D2,35.29411764705896
P1,A1,P2,D3,35.29411764705896
P1,A1,P2,D4,35.29411764705896
P1,A1,P2,D5,35.29411764705896
P1,A1,P2,D6,35.29411764705896
P1,A1,P2,D7,35.294117647058755
P1,A1,P2,D8,35.294117647058755
P1,A1,P2,E1,35.294117647058755
P1,A1,P2,E2,35.294117647058755
P1,A1,P2,E3,35.294117647058755
P1,A1,P2,E4,35.294117647058755
P1,A1,P2,E5,35.29411764705895
P1,A1,P2,E6,35.29411764705895
P1,A1,P2,E7,35.29411764705895
P1,A1,P2,E8,35.29411764705895
P1,A1,P2,F1,35.29411764705895
P1,A1,P2,F2,35.29411764705895
P1,A1,P2,F3,35.294117647058535
P1,A1,P2,F4,35.294117647058535
P1,A1,P2,F5,35.294117647058535
P1,A1,P2,F6,35.294117647058535
P1,A1,P2,F7,35.294117647058535
P1,A1,P2,F8,35.294117647058535
P4,A1,P2,F3,50.50000000000001
P4,A1,P2,F4,50.50000000000001
P4,A1,P2,F5,50.50000000000001
P4,A1,P2,F6,50.50000000000001
P4,A1,P2,F7,50.50000000000001
P4,A1,P2,F8,50.50000000000001
P1,D1,P2,D7,62.5352545
P1,D1,P2,D8,62.5352545
P1,D1,P2,E1,62.5352545
P1,D1,P2,E2,62.5352545
P1,D1,P2,E3,62.5352545
P1,D1,P2,E4,62.5352545
P1,A2,P2,A7,84.75020689655172
P1,A2,P2,A8,84.75020689655172
P1,A2,P2,B1,84.75020689655172
P1,A2,P2,B2,84.75020689655172
P1,A2,P2,B3,84.75020689655172
P1,A2,P2,B4,84.75020689655172
P1,A2,P2,D1,57.87268965517241
P1,A2,P2,D2,57.87268965517241
P1,A2,P2,D3,57.87268965517241
P1,A2,P2,D4,57.87268965517241
P1,A2,P2,D5,57.87268965517241
P1,A2,P2,D6,57.87268965517241
P1,A2,P2,D7,91.67244827586207
P1,A2,P2,D8,91.67244827586207
P1,A2,P2,E1,91.67244827586207
P1,A2,P2,E2,91.67244827586207
P1,A2,P2,E3,91.67244827586207
P1,A2,P2,E4,91.67244827586207
P1,A2,P2,E5,65.50558620689655
P1,A2,P2,E6,65.50558620689655
P1,A2,P2,E7,65.50558620689655
P1,A2,P2,E8,65.50558620689655
P1,A2,P2,F1,65.50558620689655
P1,A2,P2,F2,65.50558620689655
P5,B1,P2,F3,48.105000000000004
P5,B1,P2,F4,48.105000000000004
P5,B1,P2,F5,48.105000000000004
P5,B1,P2,F6,48.105000000000004
P5,B1,P2,F7,48.105000000000004
P5,B1,P2,F8,48.105000000000004
P1,D2,P2,A1,127.6553846153846
P1,D2,P2,A2,127.6553846153846
P1,D2,P2,A3,127.6553846153846
P1,D2,P2,A4,127.6553846153846
P1,D2,P2,A5,127.6553846153846
P1,D2,P2,A6,127.6553846153846
P1,D2,P2,A7,132.88625000000002
P1,D2,P2,A7,132.88625000000002
P1,D2,P2,A7,132.88625000000002
P1,D2,P2,A8,132.88625000000002
P1,D2,P2,A8,132.88625000000002
P1,D2,P2,A8,132.88625000000002
P1,D2,P2,B1,132.88625000000002
P1,D2,P2,B1,132.88625000000002
P1,D2,P2,B1,132.88625000000002
P1,D2,P2,B2,132.88625000000002
P1,D2,P2,B2,132.88625000000002
P1,D2,P2,B2,132.88625000000002
P1,D2,P2,B3,132.88625000000002
P1,D2,P2,B3,132.88625000000002
P1,D2,P2,B3,132.88625000000002
P1,D2,P2,B4,132.88625000000002
P1,D2,P2,B4,132.88625000000002
P1,D2,P2,B4,132.88625000000002
P1,D2,P2,B5,56.8175
P1,D2,P2,B6,56.8175
P1,D2,P2,B7,56.8175
P1,D2,P2,B8,56.8175
P1,D2,P2,C1,56.8175
P1,D2,P2,C2,56.8175
P1,D2,P2,C3,36.535961538461535
P1,D2,P2,C4,36.535961538461535
P1,D2,P2,C5,36.535961538461535
P1,D2,P2,C6,36.535961538461535
P1,D2,P2,C7,36.535961538461535
P1,D2,P2,C8,36.535961538461535
P1,D2,P2,D7,158.3453525641026
P1,D2,P2,D7,158.3453525641026
P1,D2,P2,D7,158.3453525641026
P1,D2,P2,D8,158.3453525641026
P1,D2,P2,D8,158.3453525641026
P1,D2,P2,D8,158.3453525641026
P1,D2,P2,E1,158.3453525641026
P1,D2,P2,E1,158.3453525641026
P1,D2,P2,E1,158.3453525641026
