Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Water,Culture
A1,35.29411764705915,15.0,17.689999999999998,10.0,7.026724137931035,8.116723484848485,12.462499999999999,8.433218684210525,127.6553846153846,400.02017500000005,23.500000000000004,8.658333333333333,19.650000000000002,8.246875,6.999999999999999,5.0,771.2459480972328,15.0
A2,35.29411764705915,15.0,17.689999999999998,10.0,7.026724137931035,8.116723484848485,12.462499999999999,8.433218684210525,127.6553846153846,400.02017500000005,23.500000000000004,8.658333333333333,19.650000000000002,8.246875,6.999999999999999,5.0,771.2459480972328,15.0
A3,35.29411764705915,15.0,17.689999999999998,10.0,7.026724137931035,8.116723484848485,12.462499999999999,8.433218684210525,127.6553846153846,400.02017500000005,23.500000000000004,8.658333333333333,19.650000000000002,8.246875,6.999999999999999,5.0,771.2459480972328,15.0
A4,35.29411764705915,15.0,17.689999999999998,10.0,7.026724137931035,8.116723484848485,12.462499999999999,8.433218684210525,127.6553846153846,400.02017500000005,23.500000000000004,8.658333333333333,19.650000000000002,8.246875,6.999999999999999,5.0,771.2459480972328,15.0
A5,35.29411764705915,15.0,17.689999999999998,10.0,7.026724137931035,8.116723484848485,12.462499999999999,8.433218684210525,127.6553846153846,400.02017500000005,23.500000000000004,8.658333333333333,19.650000000000002,8.246875,6.999999999999999,5.0,771.2459480972328,15.0
A6,35.29411764705915,15.0,17.689999999999998,10.0,7.026724137931035,8.116723484848485,12.462499999999999,8.433218684210525,127.6553846153846,400.02017500000005,23.500000000000004,8.658333333333333,19.650000000000002,8.246875,6.999999999999999,5.0,771.2459480972328,15.0
A7,35.29411764705868,15.0,7.116875,10.0,84.75020689655172,20.535943181818183,16.42675,6.680514473684211,398.65875000000005,494.83355200000005,10.166666666666668,18.84166666666667,23.85,10.368750000000002,11.5,5.0,315.97620746755376,15.0
A8,35.29411764705868,15.0,7.116875,10.0,84.75020689655172,20.535943181818183,16.42675,6.680514473684211,398.65875000000005,494.83355200000005,10.166666666666668,18.84166666666667,23.85,10.368750000000002,11.5,5.0,315.97620746755376,15.0
B1,35.29411764705868,15.0,7.116875,10.0,84.75020689655172,20.535943181818183,16.42675,6.680514473684211,398.65875000000005,494.83355200000005,10.166666666666668,18.84166666666667,23.85,10.368750000000002,11.5,5.0,315.97620746755376,15.0
B2,35.29411764705868,15.0,7.116875,10.0,84.75020689655172,20.535943181818183,16.42675,6.680514473684211,398.65875000000005,494.83355200000005,10.166666666666668,18.84166666666667,23.85,10.368750000000002,11.5,5.0,315.97620746755376,15.0
