Well,Line Name,OD340,H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],,,,,,
A1,C3_WA1_C1-R1,0.7206,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05,,,,,,
A2,C3_WA1_C1-R1,0.7206,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05,,,,,,
A3,C3_WA1_C1-R2,0.6227,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05,,,,,,
A4,C3_WA1_C1-R2,0.6227,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05,,,,,,
A5,C3_WA1_C1-R3,0.6467,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05,,,,,,
A6,C3_WA1_C1-R3,0.6467,0.028304,20,0.203775,2.142815,0.04985,10.682077,1.327616,400.020175,0.000282,0.001039,0.000786,0.002639,1.40E-05,,,,,,
A7,C5_WD4_F4-R1,0.627,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046,,,,,,
A8,C5_WD4_F4-R1,0.627,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046,,,,,,
B1,C5_WD4_F4-R2,0.6524,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046,,,,,,
B2,C5_WD4_F4-R2,0.6524,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046,,,,,,
B3,C5_WD4_F4-R3,0.6163,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046,,,,,,
B4,C5_WD4_F4-R3,0.6163,0.011387,20,2.457756,5.421489,0.065707,8.461985,4.146051,494.833552,0.000122,0.002261,0.000954,0.003318,0.00046,,,,,,
B5,C5.1_WA7_C7-R1,0.5765,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,,,,,,
B6,C5.1_WA7_C7-R1,0.5765,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,,,,,,
B7,C5.1_WA7_C7-R2,0.6729,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,,,,,,
B8,C5.1_WA7_C7-R2,0.6729,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,,,,,,
C1,C5.1_WA7_C7-R3,0.5798,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,,,,,,
C2,C5.1_WA7_C7-R3,0.5798,0.015798,20,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,,,,,,
C3,C5.1_WD5_F5-R1,0.7316,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,,,,,,
C4,C5.1_WD5_F5-R1,0.7316,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,,,,,,
C5,C5.1_WD5_F5-R2,0.7316,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,,,,,,
C6,C5.1_WD5_F5-R2,0.7316,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,,,,,,
