,Study ID,Study Name,Line ID,Replicate Key,Line Name,Line Description,Protocol,Assay ID,Assay Name,Formal Type,Measurement Type,Compartment,Units,Value,Hours
0,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209872,0fc9dc46-a09c-4c1c-82be-bc42e8895dd0,C4_WA1_C1-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.029002, Glucose[mM]: 3.736924, K2SO4[mM]: 0.513360, K2HPO4[mM]: 2.660736, FeSO4[mM]: 0.005937, NH4Cl[mM]: 12.398951, MgCl2[mM]: 1.580732, NaCl[mM]: 36.227452, (NH4)6Mo7O24[mM]: 0.000130, CoCl2[mM]: 0.000949, CuSO4[mM]: 0.000732, MnSO4[mM]: 0.002866, ZnSO4[mM]: 0.000237, Kan[g/l]: 0.050000",OD340,209920,C4_WA1_C1-R1,,OD340,0,,0.0532,48.0
1,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209873,9c07556f-dda7-4fa5-8dbe-972db10c08aa,C4_WA1_C1-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.029002, Glucose[mM]: 3.736924, K2SO4[mM]: 0.513360, K2HPO4[mM]: 2.660736, FeSO4[mM]: 0.005937, NH4Cl[mM]: 12.398951, MgCl2[mM]: 1.580732, NaCl[mM]: 36.227452, (NH4)6Mo7O24[mM]: 0.000130, CoCl2[mM]: 0.000949, CuSO4[mM]: 0.000732, MnSO4[mM]: 0.002866, ZnSO4[mM]: 0.000237, Kan[g/l]: 0.050000",OD340,209921,C4_WA1_C1-R2,,OD340,0,,0.0534,48.0
2,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209874,967c0d55-25f1-454c-9329-63d9eb671554,C4_WA1_C1-R3,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.029002, Glucose[mM]: 3.736924, K2SO4[mM]: 0.513360, K2HPO4[mM]: 2.660736, FeSO4[mM]: 0.005937, NH4Cl[mM]: 12.398951, MgCl2[mM]: 1.580732, NaCl[mM]: 36.227452, (NH4)6Mo7O24[mM]: 0.000130, CoCl2[mM]: 0.000949, CuSO4[mM]: 0.000732, MnSO4[mM]: 0.002866, ZnSO4[mM]: 0.000237, Kan[g/l]: 0.050000",OD340,209922,C4_WA1_C1-R3,,OD340,0,,0.0526,48.0
3,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209875,26b34f5d-c719-4c3a-95b2-c3d0d20cfb4a,C4_WD1_F1-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.037236, Glucose[mM]: 2.332746, K2SO4[mM]: 2.261266, K2HPO4[mM]: 2.059552, FeSO4[mM]: 0.047315, NH4Cl[mM]: 6.992900, MgCl2[mM]: 5.158770, NaCl[mM]: 46.321329, (NH4)6Mo7O24[mM]: 0.000035, CoCl2[mM]: 0.000733, CuSO4[mM]: 0.000625, MnSO4[mM]: 0.007170, ZnSO4[mM]: 0.000582, Kan[g/l]: 0.050000",OD340,209923,C4_WD1_F1-R1,,OD340,0,,0.0296,48.0
4,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209876,a7fa4fc4-1337-4538-82c8-61bd28cdf555,C4_WD1_F1-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.037236, Glucose[mM]: 2.332746, K2SO4[mM]: 2.261266, K2HPO4[mM]: 2.059552, FeSO4[mM]: 0.047315, NH4Cl[mM]: 6.992900, MgCl2[mM]: 5.158770, NaCl[mM]: 46.321329, (NH4)6Mo7O24[mM]: 0.000035, CoCl2[mM]: 0.000733, CuSO4[mM]: 0.000625, MnSO4[mM]: 0.007170, ZnSO4[mM]: 0.000582, Kan[g/l]: 0.050000",OD340,209924,C4_WD1_F1-R2,,OD340,0,,0.031,48.0
5,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209877,1ad58d97-f6bc-4d68-8c10-7a7161b49032,C4_WD1_F1-R3,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.037236, Glucose[mM]: 2.332746, K2SO4[mM]: 2.261266, K2HPO4[mM]: 2.059552, FeSO4[mM]: 0.047315, NH4Cl[mM]: 6.992900, MgCl2[mM]: 5.158770, NaCl[mM]: 46.321329, (NH4)6Mo7O24[mM]: 0.000035, CoCl2[mM]: 0.000733, CuSO4[mM]: 0.000625, MnSO4[mM]: 0.007170, ZnSO4[mM]: 0.000582, Kan[g/l]: 0.050000",OD340,209925,C4_WD1_F1-R3,,OD340,0,,0.0288,48.0
6,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209878,c342c6eb-1ae4-49e0-800c-361e2da81099,C4_WA2_C2-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.037236, Glucose[mM]: 2.332746, K2SO4[mM]: 2.261266, K2HPO4[mM]: 2.059552, FeSO4[mM]: 0.047315, NH4Cl[mM]: 6.992900, MgCl2[mM]: 5.158770, NaCl[mM]: 46.321329, (NH4)6Mo7O24[mM]: 0.000087, CoCl2[mM]: 0.000734, CuSO4[mM]: 0.000789, MnSO4[mM]: 0.007170, ZnSO4[mM]: 0.000592, Kan[g/l]: 0.050000",OD340,209926,C4_WA2_C2-R1,,OD340,0,,0.0515,48.0
7,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209879,313e6431-b467-4510-bb51-18b10a5e3e20,C4_WA2_C2-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.037236, Glucose[mM]: 2.332746, K2SO4[mM]: 2.261266, K2HPO4[mM]: 2.059552, FeSO4[mM]: 0.047315, NH4Cl[mM]: 6.992900, MgCl2[mM]: 5.158770, NaCl[mM]: 46.321329, (NH4)6Mo7O24[mM]: 0.000087, CoCl2[mM]: 0.000734, CuSO4[mM]: 0.000789, MnSO4[mM]: 0.007170, ZnSO4[mM]: 0.000592, Kan[g/l]: 0.050000",OD340,209927,C4_WA2_C2-R2,,OD340,0,,0.0476,48.0
8,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209880,bba15cc5-204f-4b14-948e-4780001aa3d8,C4_WA2_C2-R3,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.037236, Glucose[mM]: 2.332746, K2SO4[mM]: 2.261266, K2HPO4[mM]: 2.059552, FeSO4[mM]: 0.047315, NH4Cl[mM]: 6.992900, MgCl2[mM]: 5.158770, NaCl[mM]: 46.321329, (NH4)6Mo7O24[mM]: 0.000087, CoCl2[mM]: 0.000734, CuSO4[mM]: 0.000789, MnSO4[mM]: 0.007170, ZnSO4[mM]: 0.000592, Kan[g/l]: 0.050000",OD340,209928,C4_WA2_C2-R3,,OD340,0,,0.0444,48.0
9,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209881,27b3fcd0-10b4-4871-bd7c-2b9325be95d8,C4_WD2_F2-R1,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.037484, Glucose[mM]: 5.523542, K2SO4[mM]: 0.067196, K2HPO4[mM]: 2.407639, FeSO4[mM]: 0.092066, NH4Cl[mM]: 10.404172, MgCl2[mM]: 2.191248, NaCl[mM]: 89.853010, (NH4)6Mo7O24[mM]: 0.000110, CoCl2[mM]: 0.000082, CuSO4[mM]: 0.000785, MnSO4[mM]: 0.004130, ZnSO4[mM]: 0.000884, Kan[g/l]: 0.050000",OD340,209929,C4_WD2_F2-R1,,OD340,0,,0.1277,48.0
10,209871,Combinatorial Media Optimization for Flaviolin Yield DBTL4,209882,85dbec35-7ad2-492f-81bd-dac1e570a6e3,C4_WD2_F2-R2,"MOPS[mM]: 40.000000, Tricine[mM]: 4.000000, H3BO3[mM]: 0.037484, Glucose[mM]: 5.523542, K2SO4[mM]: 0.067196, K2HPO4[mM]: 2.407639, FeSO4[mM]: 0.092066, NH4Cl[mM]: 10.404172, MgCl2[mM]: 2.191248, NaCl[mM]: 89.853010, (NH4)6Mo7O24[mM]: 0.000110, CoCl2[mM]: 0.000082, CuSO4[mM]: 0.000785, MnSO4[mM]: 0.004130, ZnSO4[mM]: 0.000884, Kan[g/l]: 0.050000",OD340,209930,C4_WD2_F2-R2,,OD340,0,,0.124,48.0
